RSSI,SNR,Message Number,Longitude,Latitude,,,,
92,-7,137,-31.912737,115.958159,,,,
92,-8,139,-31.912343,115.958798,,,,
92,-2,140,-31.912087,115.959174,,,,
92,-8,141,-31.911897,115.959428,,,,
92,-12,142,-31.911777,115.959595,,,,
92,-6,144,-31.911322,115.959916,,,,
92,-10,145,-31.910913,115.95991,,,,
92,-8,146,-31.910452,115.959897,,,,
92,-13,199,-31.90348,115.952816,,,,
92,-1,211,-31.906504,115.95279,,,,
92,0,213,-31.90724,115.952769,,,,
92,0,214,-31.907716,115.952786,,,,
92,-2,254,-31.908641,115.943172,,,,
93,-11,26,-31.906601,115.949028,,,,
93,-10,27,-31.906488,115.94903,,,,
93,-5,32,-31.906398,115.950242,,,,
93,-10,33,-31.906397,115.950383,,,,
93,-8,34,-31.906397,115.950766,,,,
93,-8,38,-31.906399,115.95295,,,,
93,-10,39,-31.906388,115.953536,,,,
93,-8,43,-31.906484,115.954151,,,,
93,-4,55,-31.91016,115.955215,,,,
93,-4,57,-31.910134,115.956505,,,,
93,-9,58,-31.91013,115.957129,,,,
93,-11,59,-31.910119,115.957747,,,,
93,-11,61,-31.910111,115.959005,,,,
93,-10,63,-31.910102,115.959811,,,,
93,-8,64,-31.910214,115.959921,,,,
93,-12,67,-31.911277,115.959939,,,,
93,-8,70,-31.911979,115.959424,,,,
93,-9,71,-31.912188,115.959086,,,,
93,-6,72,-31.912453,115.958683,,,,
93,-10,73,-31.912683,115.958342,,,,
93,-7,75,-31.913014,115.957873,,,,
93,-4,76,-31.913252,115.957527,,,,
93,-5,83,-31.915168,115.954907,,,,
93,-5,90,-31.916138,115.953025,,,,
93,-5,91,-31.916124,115.953132,,,,
93,-6,97,-31.915563,115.954528,,,,
93,-6,118,-31.911765,115.956503,,,,
93,-9,138,-31.912576,115.958457,,,,
93,-13,143,-31.911621,115.959814,,,,
93,-8,147,-31.909982,115.959902,,,,
93,-15,148,-31.909543,115.959899,,,,
93,-11,149,-31.909154,115.959885,,,,
93,-13,157,-31.905773,115.960056,,,,
93,-19,158,-31.90524,115.960017,,,,
93,-14,159,-31.904708,115.960009,,,,
93,-17,169,-31.900853,115.959472,,,,
93,-17,172,-31.901394,115958283,,,,
93,-16,173,-31.901684,115.957768,,,,
93,-10,176,-31.902127,115.95594,,,,
93,-14,177,-31.902153,115.955333,,,,
93,-11,178,-31.902168,115.954818,,,,
93,-13,179,-31.902209,115.954529,,,,
93,-14,180,-31.902342,115.954409,,,,
93,-15,181,-31.902638,"115""954409",,,,
93,-9,182,-31.90294,115.954405,,,,
93,-14,184,-31.903146,115.954291,,,,
93,-14,187,-1.3104,115.953806,,,,
93,-16,188,-31.902951,115.953794,,,,
93,-17,197,-31.902751,115.95282,,,,
93,-12,201,-31.904365,115.952828,,,,
93,-9,202,-31.904638,115.952828,,,,
93,-1,204,-31.904727,115.95283,,,,
93,-8,205,-31.904829,115.952821,,,,
93,-5,206,-31.90505,115.952807,,,,
93,-5,207,-31.905408,115.952796,,,,
93,-3,212,-31.906819,115.95277,,,,
93,-5,237,-31.909248,115.945681,,,,
93,-2,241,-31.908853,115.943293,,,,
93,-8,242,-31.908715,115.9431,,,,
93,-1,255,-31.908776,115.943145,,,,
94,-12,31,-31.906402,115.950109,,,,
94,-11,41,-31.906384,115.954061,,,,
94,-7,74,-31.912872,115.958136,,,,
94,-11,183,-31.903074,115.95438,,,,
94,-14,185,-31.903143,115.954053,,,,
94,-13,186,-31.903137,115.95392,,,,
94,-15,200,-31.903939,115.952811,,,,
94,-4,208,-31.905822,115.952804,,,,
94,-8,239,-31.909024,115.944363,,,,
94,-11,240,-31.908921,115.943755,,,,
94,-6,243,-31.908468,115.943261,,,,
94,-13,245,-31.907887,115.943746,,,,
94,-14,246,-31.907517,115.943742,,,,
94,-14,247,-31.907204,115.943723,,,,
94,-17,248,-31.907054,115.943734,,,,
94,-14,249,-31.907143,115.94378,,,,
94,-11,251,-31.907776,115.943775,,,,
94,-8,252,-31.908122,115.943711,,,,
94,-4,253,-31.908409,115.943424,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
